time_ns,LNA_P,LNA_N,Mixer_IF_P,Mixer_IF_N,IFA_P,IFA_N,VGA_P,VGA_N
11.6705918,0.887321346,0.8876347,0.854873421,0.845425566,2.77951302,2.83671672,2.12970349,0.591762746
11.7705918,0.888274972,0.886558658,0.841890534,0.832022049,2.77618685,2.83492794,2.12367504,0.595813776
11.8705918,0.887631444,0.888379665,0.843940233,0.83456684,2.77632598,2.83631051,2.11971033,0.601083411
11.970591800000001,0.886518152,0.887772864,0.852350209,0.842700813,2.77640642,2.83767514,2.11442779,0.605747405
12.0705918,0.88874786,0.887224577,0.8364993,0.82684856,2.77334515,2.83599955,2.10909815,0.610435993
12.170591799999999,0.887641566,0.887328002,0.854758822,0.84542964,2.77581991,2.83933524,2.10295217,0.617944783
12.2705918,0.886551879,0.888268626,0.841936371,0.832183859,2.77261938,2.83743244,2.09542265,0.623661004
12.3705918,0.888383448,0.887635219,0.843735369,0.834477229,2.77280029,2.83863766,2.08992045,0.630566937
12.4705918,0.887773426,0.886518473,0.852385398,0.842855439,2.77305102,2.83997663,2.08337684,0.636429256
12.570591799999999,0.887219613,0.888742981,0.83642614,0.826891198,2.77000597,2.83812024,2.07670262,0.642743787
12.6705918,0.88733469,0.887648461,0.854640234,0.845431498,2.77259109,2.84140728,2.06883907,0.65183071
12.7705918,0.888262643,0.886545668,0.841999499,0.832364661,2.76949899,2.83941437,2.05958424,0.659429867
12.8705918,0.887638823,0.888387062,0.843534448,0.834393281,2.76971538,2.84047793,2.05255852,0.667914164
12.9705918,0.886518853,0.887774047,0.852419485,0.843010711,2.77012194,2.84180592,2.04485497,0.67488455
13.0705918,0.888737864,0.887214423,0.836359904,0.826942895,2.76709688,2.83981273,2.03722995,0.682323309
13.1705918,0.887655373,0.8873414,0.854520536,0.845433898,2.76978619,2.84306161,2.02830185,0.692374665
13.2705918,0.886537522,0.888255151,0.84203036,0.832514689,2.76679985,2.84101031,2.01813103,0.700964857
13.3705918,0.888390753,0.887642494,0.843328167,0.83430567,2.76705657,2.84196301,2.01029303,0.710264502
13.4705918,0.887774749,0.886519313,0.852450037,0.843164058,2.76759798,2.84329061,2.0021976,0.71759899
13.5705918,0.887209347,0.888732876,0.836287757,0.826990151,2.76460189,2.84121098,1.99456924,0.7250819
13.670591799999999,0.887348118,0.887662289,0.854391712,0.845428964,2.76736301,2.84443285,1.98558009,0.73515029
13.7705918,0.888249477,0.886531654,0.842096099,0.83270135,2.76448722,2.84234562,1.97512669,0.744029986
13.8705918,0.887646127,0.888394414,0.843129923,0.834227297,2.76477684,2.84320328,1.96705322,0.753551734
13.970591800000001,0.886519839,0.887775513,0.85248037,0.843318531,2.76544044,2.84453385,1.95887744,0.760953063
14.070591799999999,0.888727746,0.887204094,0.836223902,0.827047809,2.76246764,2.84238308,1.95149776,0.768194588
14.1705918,0.887669224,0.887354861,0.854262828,0.845425332,2.76528137,2.84559342,1.94308219,0.777657113
14.2705918,0.886525929,0.888243953,0.84215827,0.832886081,2.76250116,2.84348659,1.9327129,0.786449119
14.370591800000001,0.888398037,0.887649733,0.842922724,0.834141356,2.7628155,2.84425892,1.92462076,0.795974738
14.4705918,0.887776374,0.886520461,0.852507146,0.843470741,2.76358612,2.84560242,1.91661959,0.803195026
14.5705918,0.88719881,0.888722557,0.836156851,0.82710255,2.76064286,2.84338355,1.90951303,0.810160324
14.6705918,0.887361632,0.887676181,0.854131032,0.845420067,2.76348381,2.84659193,1.9018801,0.818824813
14.7705918,0.88823834,0.886520112,0.842223587,0.833074943,2.76079224,2.8444728,1.89172824,0.827394648
14.8705918,0.88765318,0.888401447,0.842712254,0.834053168,2.7611194,2.84516823,1.88373891,0.836807768
14.970591800000001,0.886521163,0.887777314,0.852532664,0.843622703,2.76199417,2.8465236,1.87582943,0.843935033
15.070591799999999,0.888717286,0.88719344,0.836091299,0.827159848,2.75907231,2.84424195,1.86903917,0.85058449
15.1705918,0.887683157,0.887368425,0.853995123,0.845411351,2.76195304,2.84743235,1.86179037,0.858854076
15.2705918,0.886514333,0.888232769,0.84228814,0.833263979,2.75933649,2.84530763,1.85195962,0.867104752
15.370591800000001,0.888404813,0.88765651,0.842513184,0.833977364,2.75966362,2.84593471,1.84423763,0.876243283
15.4705918,0.887778281,0.886521894,0.852559442,0.843776851,2.76062798,2.84731474,1.83666569,0.883030953
15.570591799999999,0.887186815,0.888710521,0.836042845,0.827234487,2.75772167,2.84498038,1.83032237,0.889231316
15.6705918,0.887375172,0.887690078,0.85386002,0.845404657,2.760617,2.84816528,1.82374312,0.896826968
15.770591800000002,0.888227229,0.886508579,0.842353279,0.833454691,2.75806538,2.84604779,1.81445614,0.904532086
15.8705918,0.887659101,0.888407292,0.84229674,0.833885029,2.7583876,2.84661138,1.80708965,0.913306681
15.9705918,0.886522768,0.887779392,0.85258052,0.843926293,2.75943211,2.84801794,1.7998343,0.91978255
16.070591800000003,0.888706497,0.887182444,0.835965254,0.827282359,2.75652989,2.84563508,1.79394744,0.925524587
16.170591799999997,0.887697103,0.887382022,0.853716611,0.845390406,2.75944058,2.84881844,1.78811832,0.932364802
16.2705918,0.886502879,0.888221745,0.842416689,0.833644544,2.75695368,2.84670537,1.77920522,0.939698006
16.3705918,0.888410611,0.887662363,0.842100172,0.833813352,2.7572685,2.84720296,1.77205744,0.948248276
16.4705918,0.887780552,0.88652369,0.852605388,0.844080176,2.75839248,2.84863443,1.76508886,0.954444397
16.5705918,0.887176819,0.88870098,0.83590532,0.827347943,2.75549612,2.84620575,1.75958744,0.959795635
16.6705918,0.887388757,0.887704012,0.8535751,0.845379219,2.75840405,2.84939144,1.75457282,0.965824706
16.770591800000002,0.888216314,0.886497225,0.842482891,0.833838012,2.75597738,2.84729136,1.74621772,0.972596996
16.870591800000003,0.887666511,0.888415146,0.841868918,0.833707123,2.75627163,2.84772676,1.73939552,0.980818827
16.970591799999998,0.88652476,0.887781854,0.852622627,0.844227293,2.75747705,2.84918379,1.73262378,0.986826559
17.0705918,0.888695402,0.88717113,0.835845545,0.827414483,2.75458317,2.84671479,1.72754271,0.991747355
17.1705918,0.887711254,0.88739576,0.853433025,0.845368573,2.75749342,2.84989446,1.72309932,0.997212474
17.2705918,0.886491583,0.888210898,0.842545086,0.834028639,2.75509902,2.84783097,1.7158172,1.00290915
17.3705918,0.88841807,0.887669419,0.841672394,0.833637208,2.75537686,2.84820979,1.70931903,1.01079893
17.4705918,0.887783497,0.886526159,0.852646789,0.84438191,2.75665256,2.84969144,1.70282403,1.01654431
17.570591800000003,0.88716535,0.888689738,0.835788918,0.827484869,2.75376823,2.84717657,1.69790193,1.02129436
17.6705918,0.887402619,0.88771827,0.853283644,0.845350305,2.75669118,2.85033784,1.69380655,1.02642071
17.7705918,0.888205552,0.886486009,0.842608371,0.834220608,2.75434983,2.84828854,1.68689049,1.03175229
17.8705918,0.887672323,0.888421006,0.841480409,0.833572048,2.75460648,2.8486113,1.68070142,1.03932627
17.9705918,0.886527414,0.887784963,0.852660113,0.844526299,2.75595149,2.85011638,1.67438532,1.04490879
18.0705918,0.888683996,0.887159491,0.835733133,0.827556609,2.75306759,2.84756507,1.66980485,1.04930259
18.1705918,0.887725297,0.887409491,0.853131562,0.845329879,2.75599133,2.85071638,1.66626639,1.05388175
18.270591800000002,0.886480466,0.888200244,0.842672566,0.834414523,2.7536703,2.84871361,1.6604265,1.05813521
18.3705918,0.888423866,0.887675146,0.841288684,0.833507874,2.75390065,2.84898633,1.65468116,1.06525741
18.4705918,0.887786247,0.886528505,0.852666894,0.844664784,2.75530936,2.85051866,1.64860537,1.07061707
18.5705918,0.88715358,0.888678207,0.835677228,0.827628966,2.75242519,2.84793232,1.64430215,1.07471772
18.6705918,0.887416376,0.887732333,0.852976595,0.84530718,2.75535213,2.85106823,1.64116641,1.07890595
18.7705918,0.888195008,0.886474994,0.842735257,0.834607179,2.75307799,2.84908695,1.63572682,1.0827588
18.8705918,0.887677896,0.888426657,0.841096692,0.833443849,2.75328055,2.84930811,1.63031013,1.08954535
18.9705918,0.886529879,0.887787855,0.852684248,0.844814423,2.75474766,2.85087037,1.62451189,1.09464562
19.070591800000003,0.888672306,0.887147556,0.83562674,0.827707176,2.75186135,2.84825254,1.62052038,1.09841709
19.1705918,0.887739226,0.887423162,0.85282472,0.845287958,2.75478869,2.85137608,1.61783199,1.10217018
19.2705918,0.88646951,0.888189757,0.84280173,0.834804516,2.75254413,2.84942941,1.61302745,1.10538694
19.3705918,0.888429366,0.88768056,0.840907275,0.833382906,2.75271878,2.84960022,1.60797789,1.11179866
19.470591799999998,0.887789828,0.88653145,0.852682542,0.844945119,2.75424198,2.85119434,1.60250797,1.1165889
19.5705918,0.887141512,0.888666391,0.835573621,0.82778337,2.75134988,2.84854781,1.5987806,1.1200786
19.6705918,0.887430154,0.887746403,0.852660589,0.845257179,2.75426918,2.85165854,1.59654406,1.12339282
19.770591800000002,0.888184646,0.886464156,0.842862418,0.834996499,2.75205615,2.84975293,1.59247187,1.12587523
19.8705918,0.88768315,0.888432007,0.840714078,0.833318872,2.75219141,2.84988276,1.58793363,1.13176771
19.9705918,0.886533001,0.887791587,0.852695317,0.845091428,2.75376839,2.8515083,1.58270526,1.13633629
20.0705918,0.888660524,0.887135519,0.835527202,0.827866729,2.75087532,2.84883119,1.57919193,1.13959298
20.1705918,0.887753435,0.887437044,0.852499651,0.845229967,2.75379405,2.85192233,1.5771851,1.1426914
20.2705918,0.886458933,0.88817963,0.842928111,0.835194513,2.75160661,2.85005872,1.57372228,1.14456309
20.3705918,0.888434562,0.887685652,0.840523733,0.833258221,2.75170215,2.8501494,1.56978387,1.14984697
20.4705918,0.887796684,0.886536985,0.852686817,0.845214294,2.75332906,2.85179937,1.56468863,1.15430583
20.570591800000003,0.887129545,0.888654694,0.835482545,0.827952067,2.75045244,2.8490851,1.56106385,1.15765232
20.6705918,0.887443938,0.887760466,0.8523359,0.845200323,2.75336976,2.85215447,1.55922035,1.16060136
20.770591800000002,0.888175,0.88645415,0.842997041,0.835396765,2.75121529,2.85032791,1.55616948,1.16206012
20.8705918,0.887688068,0.888437035,0.840334065,0.833198757,2.75125657,2.85039143,1.55310681,1.16645832
20.970591799999998,0.886538027,0.887797839,0.852696081,0.845358258,2.75293539,2.85207376,1.54823256,1.17071685
21.0705918,0.888648528,0.887123226,0.835430688,0.828031012,2.75005953,2.84932725,1.54466366,1.17398837
21.1705918,0.887767506,0.887450843,0.852168628,0.845167673,2.75297216,2.85237696,1.54302793,1.17674315
21.270591800000002,0.886448951,0.888170058,0.843058981,0.835591373,2.75085982,2.85057976,1.5402607,1.17791702
21.3705918,0.888439439,0.887690409,0.840143968,0.833138982,2.75086511,2.85059714,1.53746081,1.18204409
21.4705918,0.887799496,0.88653955,0.852708489,0.845505429,2.7525935,2.85231198,1.53279254,1.18611723
21.5705918,0.8871169,0.888642342,0.835388386,0.828119897,2.74971241,2.84954022,1.52937699,1.18921546
21.6705918,0.887457712,0.887774506,0.85200193,0.845135906,2.75261805,2.85257088,1.52797424,1.19175079
21.7705918,0.8881648,0.886443385,0.843129283,0.835794378,2.75054985,2.85080126,1.52547632,1.19265415
21.8705918,0.887692718,0.888441829,0.839963067,0.833088777,2.75050005,2.85079056,1.52330304,1.19614476
21.9705918,0.88654118,0.887801265,0.852720461,0.845652599,2.75227744,2.85253853,1.51882985,1.20004425
22.0705918,0.888635971,0.887110433,0.835336257,0.828199283,2.74939165,2.84974232,1.51554789,1.20298906
22.1705918,0.887781537,0.887464615,0.851830004,0.845099352,2.75228641,2.85275555,1.514387,1.2052955
22.270591800000002,0.88643875,0.888160371,0.843183771,0.835982822,2.75025011,2.85102712,1.51230441,1.20578214
22.3705918,0.888443969,0.887694803,0.839767321,0.833024577,2.75015075,2.85098382,1.51068803,1.20870596
22.470591799999998,0.88780317,0.886542942,0.85272733,0.845795229,2.7519705,2.8527685,1.50653976,1.21230202
22.5705918,0.887104031,0.888629722,0.835296102,0.828291303,2.74907949,2.84994921,1.50335749,1.21512681
22.6705918,0.88747152,0.887788565,0.85165932,0.845064396,2.75196881,2.85293838,1.50229105,1.21735261
22.770591800000002,0.888155627,0.886433749,0.843246569,0.836179619,2.74997545,2.85124021,1.50036267,1.2176841
22.8705918,0.887696868,0.888446119,0.839581504,0.832970822,2.74981614,2.85117317,1.49939214,1.21995061
22.9705918,0.886544805,0.887805182,0.852733901,0.845938027,2.7516782,2.85299501,1.49557759,1.22323547
23.070591800000003,0.888624282,0.887098772,0.835243654,0.828370676,2.74879358,2.85014457,1.49230123,1.22613387
23.170591799999997,0.887795668,0.887478499,0.851485557,0.845026559,2.75168085,2.85310198,1.49108499,1.22852354
23.2705918,0.886428823,0.888150959,0.843308914,0.83637634,2.74973033,2.85143477,1.48927356,1.22873715
23.3705918,0.888448374,0.887699012,0.839398026,0.83291994,2.74951312,2.85134134,1.48880759,1.23048776
23.4705918,0.887807307,0.886546777,0.852738557,0.846079355,2.75140845,2.85320863,1.48556722,1.23322024
23.5705918,0.887089147,0.888615442,0.835223587,0.828483531,2.74851728,2.85033792,1.48234368,1.23604238
23.6705918,0.887485374,0.887802665,0.851304889,0.844982365,2.75140368,2.85326388,1.48106694,1.23850932
23.770591800000002,0.888146369,0.886423976,0.843370258,0.836572541,2.74949588,2.8516286,1.47937805,1.23859966
23.8705918,0.887700915,0.888450353,0.839211577,0.832865714,2.74923924,2.85149197,1.47908762,1.240164
23.970591799999998,0.886548865,0.887809553,0.852740472,0.84621807,2.75117664,2.85339311,1.47600296,1.24276269
24.0705918,0.888609165,0.887082735,0.835189344,0.828582283,2.74828121,2.85050147,1.4728382,1.24550581
24.1705918,0.887808981,0.887491554,0.851133162,0.844947108,2.75115642,2.85340568,1.47165823,1.24788767
24.270591800000002,0.886419176,0.888141826,0.843433598,0.836771063,2.7492893,2.85180329,1.4701168,1.24783087
24.3705918,0.888451763,0.88770233,0.839038822,0.832826594,2.74899456,2.85162369,1.46993264,1.24927813
24.4705918,0.887811873,0.886551015,0.852745884,0.846360653,2.75095663,2.85357338,1.4674357,1.2513102
24.570591800000003,0.887076007,0.888602574,0.835150482,0.828677112,2.74805527,2.85066272,1.46432931,1.25397532
24.670591799999997,0.887498335,0.887815854,0.850946624,0.844897668,2.75092054,2.85354163,1.46318909,1.25632979
24.7705918,0.888137381,0.886414474,0.843494597,0.836967676,2.74909271,2.85197587,1.46182424,1.25609589
24.8705918,0.887704236,0.88845378,0.83884956,0.83277059,2.74874513,2.85176607,1.4620447,1.25712626
24.9705918,0.886553338,0.887814355,0.852739604,0.846492195,2.75073726,2.85375996,1.45996695,1.25876136
25.0705918,0.888596165,0.887069453,0.835117959,0.828778471,2.74783045,2.85083182,1.45696473,1.26130243
