time_ns,ADC_P,ADC_N,DIGIF_P,DIGIF_N
26.070591800000003,1.19991157,1.19998412,3.19873582,3.19882169
26.1705918,1.19998541,1.20006558,3.19875753,3.19882266
26.2705918,1.19986456,1.19997695,3.19875677,3.19876591
26.3705918,1.19994547,1.20007641,3.19880343,3.19878655
26.4705918,1.1999165,1.20003069,3.19876631,3.19877346
26.5705918,1.19991869,1.19998267,3.19873748,3.19881951
26.6705918,1.19999445,1.20006375,3.19875767,3.19882286
26.770591800000002,1.19987252,1.19997583,3.19875803,3.1987645
26.8705918,1.19995107,1.20007603,3.19880688,3.19878295
26.9705918,1.19992145,1.20003379,3.19877274,3.1987675
27.0705918,1.19992206,1.19998416,3.19874276,3.19881372
27.1705918,1.20000142,1.20006325,3.19875856,3.19882231
27.2705918,1.19988052,1.19997386,3.19875674,3.19876567
27.3705918,1.19995611,1.20007544,3.19880898,3.19878068
27.4705918,1.19992347,1.20003915,3.19878175,3.19875895
27.570591800000003,1.19992402,1.19998646,3.1987481,3.19880786
27.6705918,1.20000854,1.20006181,3.19875696,3.19882425
27.7705918,1.19988868,1.19997106,3.1987533,3.19876897
27.8705918,1.19996256,1.2000726,3.1988072,3.1987823
27.970591799999998,1.19992929,1.20003954,3.19878329,3.19875787
28.0705918,1.19992252,1.19999163,3.19875798,3.19879746
28.1705918,1.20001438,1.20006101,3.19875604,3.19882551
28.270591800000002,1.19989802,1.19996628,3.1987465,3.19877565
28.3705918,1.19996895,1.20006915,3.19880434,3.19878499
28.4705918,1.19993521,1.20003922,3.19878375,3.19875788
28.5705918,1.19991983,1.19999738,3.19876913,3.19878579
28.6705918,1.20001853,1.20006117,3.19875694,3.19882494
28.7705918,1.19990647,1.19996174,3.1987402,3.19878184
28.8705918,1.19997618,1.20006414,3.19879918,3.19878996
28.9705918,1.19994123,1.20003818,3.19878337,3.19875873
29.070591800000003,1.19992321,1.19999589,3.19877001,3.19878439
29.1705918,1.20002317,1.20005999,3.19875743,3.19882478
29.270591800000002,1.19991195,1.19995963,3.1987391,3.19878284
29.3705918,1.19997976,1.20006226,3.19879973,3.19878923
29.470591799999998,1.19994456,1.20003936,3.19878665,3.19875593
29.5705918,1.19992131,1.19999962,3.19877864,3.19877523
29.6705918,1.20002372,1.20006268,3.19876292,3.19881962
29.770591800000002,1.19991541,1.19995919,3.19873936,3.19878249
29.870591800000003,1.19998395,1.20005941,3.19879751,3.19879126
29.970591800000005,1.19994843,1.20003964,3.19878757,3.19875549
30.0705918,1.19991983,1.20000247,3.19878498,3.19876838
30.170591799999997,1.20002651,1.20006261,3.19876351,3.19881935
30.2705918,1.1999211,1.19995615,3.19873524,3.19878652
30.3705918,1.1999883,1.20005598,3.1987945,3.19879407
30.4705918,1.19995267,1.20003916,3.19878749,3.19875605
30.570591800000003,1.19991761,1.20000596,3.19879235,3.19876049
30.670591800000004,1.20002581,1.20006579,3.19876911,3.19881405
30.7705918,1.1999255,1.19995421,3.19873229,3.19878939
30.870591799999996,1.19999383,1.20005101,3.19878865,3.19879972
30.970591799999998,1.19995717,1.20003812,3.19878635,3.19875767
31.0705918,1.19991937,1.20000478,3.19879286,3.19875948
31.1705918,1.200021,1.20007309,3.19878118,3.19880229
31.270591800000002,1.19992811,1.19995383,3.1987314,3.19879022
31.370591800000003,1.19999805,1.20004716,3.19878387,3.19880429
31.470591800000005,1.19996327,1.20003515,3.19878166,3.19876285
31.5705918,1.19992266,1.20000168,3.19879026,3.19876156
31.670591799999997,1.2000245,1.20007126,3.19878009,3.19880369
31.7705918,1.19993215,1.19995166,3.19872962,3.19879195
31.8705918,1.20000312,1.20004199,3.19877906,3.19880889
31.9705918,1.19996713,1.20003419,3.19878177,3.19876323
32.0705918,1.1999227,1.2000017,3.19879355,3.19875775
32.170591800000004,1.20001793,1.20007985,3.19879501,3.19878907
32.2705918,1.19993193,1.19995376,3.198733,3.19878851
32.3705918,1.20000724,1.2000376,3.19877372,3.19881401
32.4705918,1.1999721,1.20003195,3.19877822,3.19876727
32.5705918,1.1999246,1.19999966,3.19879241,3.19875836
32.670591800000004,1.20002004,1.20007903,3.19879517,3.1987892
32.7705918,1.19993477,1.19995252,3.19873215,3.19878932
32.8705918,1.20001008,1.20003441,3.19877136,3.19881614
32.970591799999994,1.19997531,1.20003132,3.19877806,3.19876793
33.070591799999995,1.19992495,1.19999906,3.198794,3.19875626
33.1705918,1.20001749,1.2000831,3.19880297,3.19878169
33.2705918,1.19993477,1.19995409,3.19873516,3.19878627
33.3705918,1.20001117,1.20003278,3.19877086,3.19881641
33.4705918,1.19997933,1.20002974,3.19877573,3.19877075
33.5705918,1.19992558,1.19999806,3.19879447,3.19875526
33.670591800000004,1.20001486,1.20008697,3.19880994,3.19877501
33.7705918,1.19993445,1.19995595,3.19873797,3.19878344
33.8705918,1.20001339,1.20003001,3.19876777,3.19881926
33.9705918,1.19998314,1.20002825,3.19877308,3.19877389
34.0705918,1.19992754,1.19999559,3.1987923,3.19875693
34.170591800000004,1.20001349,1.20008962,3.19881472,3.19877051
34.270591800000005,1.19993152,1.19996045,3.19874476,3.19877662
34.3705918,1.20001578,1.20002689,3.19876385,3.19882294
34.470591799999994,1.19999042,1.20002302,3.19876457,3.1987829
34.570591799999995,1.19993099,1.19999147,3.19878803,3.19876068
34.6705918,1.20001523,1.20008861,3.198815,3.19877051
34.7705918,1.19992662,1.19996698,3.19875546,3.19876591
34.8705918,1.20001631,1.20002559,3.19876317,3.19882337
34.9705918,1.19999643,1.20001895,3.1987579,3.19879007
35.0705918,1.19993392,1.19998783,3.19878428,3.19876391
35.170591800000004,1.20001721,1.20008724,3.19881449,3.19877128
35.2705918,1.19992852,1.19996626,3.19875548,3.1987659
35.3705918,1.20001788,1.20002314,3.198762,3.19882429
35.4705918,1.20000003,1.20001735,3.19875627,3.1987922
35.5705918,1.19993489,1.19998612,3.19878426,3.19876343
35.670591800000004,1.20001784,1.20008708,3.19881637,3.19876967
35.770591800000005,1.1999247,1.19997163,3.19876477,3.19875659
35.8705918,1.20001716,1.20002298,3.19876362,3.1988224
35.970591799999994,1.20000406,1.20001513,3.19875289,3.19879608
36.070591799999995,1.19993665,1.19998358,3.19878217,3.19876501
36.1705918,1.20001812,1.2000874,3.19881811,3.19876817
36.2705918,1.19992239,1.19997528,3.19877071,3.19875069
36.3705918,1.20001639,1.20002283,3.19876465,3.19882111
36.4705918,1.20000757,1.2000135,3.19874974,3.19879973
36.5705918,1.19993877,1.19998059,3.19877891,3.19876776
36.6705918,1.20001992,1.20008598,3.19881702,3.19876952
36.7705918,1.19991762,1.19998174,3.19878084,3.19874059
36.8705918,1.20001342,1.2000249,3.19876886,3.19881663
36.9705918,1.2000113,1.2000115,3.19874572,3.19880422
37.0705918,1.1999438,1.19997456,3.1987709,3.19877526
37.170591800000004,1.2000229,1.20008326,3.19881435,3.19877243
37.270591800000005,1.19991671,1.19998413,3.19878507,3.19873639
37.3705918,1.20000837,1.20002911,3.19877705,3.19880816
37.470591799999994,1.200014,1.20001054,3.1987435,3.19880695
37.570591799999995,1.19994812,1.19996921,3.19876384,3.19878182
37.6705918,1.20002568,1.20008067,3.1988117,3.19877532
37.7705918,1.19991845,1.19998347,3.19878493,3.19873658
37.8705918,1.20000896,1.20002739,3.19877684,3.19880809
37.9705918,1.20001694,1.20000932,3.19874223,3.19880873
38.0705918,1.19994978,1.19996661,3.19876217,3.19878299
38.1705918,1.20002652,1.20008004,3.1988127,3.19877456
38.2705918,1.19992062,1.19998219,3.19878424,3.19873731
38.3705918,1.20000417,1.2000313,3.19878513,3.19879951
38.4705918,1.20001817,1.20000982,3.19874278,3.19880869
38.5705918,1.1999529,1.19996242,3.19875704,3.19878762
38.670591800000004,1.20002818,1.20007852,3.19881163,3.19877585
38.770591800000005,1.19991914,1.19998503,3.19878899,3.19873263
38.8705918,1.20000083,1.20003364,3.19879021,3.19879414
38.9705918,1.20001959,1.2000101,3.19874246,3.19880952
39.070591799999995,1.19995511,1.19995922,3.19875303,3.19879113
39.1705918,1.20003042,1.20007634,3.19880916,3.19877855
39.2705918,1.19992071,1.19998454,3.19878855,3.19873314
39.3705918,1.19999364,1.20004014,3.19880174,3.1987823
39.4705918,1.20001928,1.20001213,3.19874446,3.19880803
39.5705918,1.19995962,1.19995348,3.19874478,3.19879888
39.6705918,1.2000349,1.20007179,3.19880302,3.1987849
39.7705918,1.19992298,1.19998333,3.19878729,3.19873447
39.8705918,1.19998779,1.20004532,3.19881162,3.19877212
39.9705918,1.20001714,1.20001604,3.19874988,3.19880312
40.0705918,1.19996138,1.19995104,3.19874121,3.19880194
40.170591800000004,1.20003962,1.20006689,3.19879632,3.19879181
40.270591800000005,1.19992592,1.19998142,3.19878493,3.19873691
40.3705918,1.19998801,1.20004385,3.19881175,3.19877168
40.4705918,1.20001895,1.20001585,3.19875011,3.1988034
40.570591799999995,1.19996307,1.19994828,3.19873909,3.19880358
40.6705918,1.20004116,1.20006532,3.19879579,3.19879255
40.7705918,1.19992653,1.19998193,3.19878675,3.19873519
40.8705918,1.19998812,1.20004256,3.19881188,3.19877124
40.9705918,1.20001625,1.20002034,3.19875708,3.19879694
41.0705918,1.19996355,1.19994676,3.1987378,3.19880438
41.1705918,1.20004452,1.20006177,3.19879119,3.19879735
41.2705918,1.1999281,1.19998147,3.19878636,3.19873567
41.3705918,1.19998408,1.20004563,3.19881837,3.19876443
41.4705918,1.20001476,1.20002357,3.19876143,3.19879309
41.5705918,1.19996453,1.19994475,3.19873535,3.19880636
41.670591800000004,1.20004756,1.20005853,3.19878682,3.19880191
41.770591800000005,1.19993038,1.19998027,3.19878461,3.19873754
41.8705918,1.19998379,1.20004463,3.19881872,3.19876375
41.9705918,1.20000896,1.20003135,3.19877284,3.19878219
42.070591799999995,1.19996413,1.19994415,3.19873455,3.19880667
42.1705918,1.20005287,1.2000528,3.19877805,3.19881087
42.2705918,1.19993433,1.19997735,3.19878,3.19874227
42.3705918,1.19998436,1.20004273,3.19881776,3.19876438
42.4705918,1.20000326,1.20003913,3.19878464,3.1987709
42.570591799999995,1.19996238,1.19994497,3.19873631,3.19880444
42.6705918,1.2000567,1.20004856,3.19877189,3.19881721
42.7705918,1.19993899,1.19997367,3.19877428,3.19874812
42.8705918,1.19998541,1.20004031,3.19881617,3.19876563
42.9705918,1.20000466,1.20003927,3.19878527,3.19877078
43.0705918,1.1999631,1.19994328,3.19873552,3.19880475
43.170591800000004,1.2000591,1.20004583,3.1987694,3.19881987
43.270591800000005,1.19994067,1.19997312,3.19877429,3.19874824
43.3705918,1.19998427,1.20004016,3.19881842,3.19876304
43.4705918,1.20000251,1.20004334,3.1987917,3.19876486
43.5705918,1.19995946,1.19994615,3.19874105,3.19879875
43.6705918,1.20006012,1.20004468,3.19876791,3.19882163
43.7705918,1.19994422,1.19997062,3.19877023,3.19875245
43.8705918,1.1999843,1.20003879,3.19881812,3.19876299
43.9705918,1.19999961,1.20004803,3.19879866,3.19875841
44.070591799999995,1.19995834,1.1999464,3.19874205,3.19879729
44.1705918,1.20006256,1.20004184,3.19876403,3.19882567
44.2705918,1.19994736,1.19996855,3.19876687,3.19875596
44.3705918,1.19998444,1.20003728,3.19881762,3.19876313
44.4705918,1.19999932,1.20005003,3.19880137,3.19875623
44.5705918,1.19995273,1.19995137,3.19875022,3.19878866
44.670591800000004,1.20006401,1.20003993,3.19876096,3.19882888
44.770591800000005,1.19995311,1.19996374,3.19875867,3.19876432
44.8705918,1.19998613,1.20003416,3.19881446,3.19876593
44.9705918,1.2000006,1.20005025,3.19880178,3.19875632
45.0705918,1.19994541,1.19995826,3.19876167,3.19877674
45.1705918,1.20006361,1.20003993,3.19876095,3.19882903
45.2705918,1.19995731,1.19996056,3.19875279,3.19877037
