# Logfile created on 2026-07-14 11:04:34 -0400 by logger.rb/61378
2026-07-14 11:04:34 -0400: Memory Usage (419076K) : dfpad_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419340K) : dfpad_pillar has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419340K) : dfpad_sbump has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419340K) : thickgateox_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419340K) : pldb_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419340K) : pwell_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419604K) : pwell_pin has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419604K) : pwell_block has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419604K) : ic_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419604K) : via3_drw has 2 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419604K) : metal4_drw has 4 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419868K) : metal4_pin has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419868K) : metal4_mask has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419868K) : metal4_filler has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419868K) : metal4_nofill has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (419868K) : metal4_slit has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420132K) : metal4_text has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420132K) : metal4_opc has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420132K) : metal4_noqrc has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420132K) : metal4_res has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420132K) : metal4_iprobe has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420396K) : metal4_diffprb has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420396K) : heattrans_drw has 16 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420396K) : heatres_drw has 1 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420396K) : pempoly_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420660K) : fbe_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420660K) : empoly_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420660K) : ldmos_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420660K) : pbiwind_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420660K) : digisub_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420924K) : nodrc_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420924K) : text_drw has 85 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420924K) : via4_drw has 2 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420924K) : metal5_drw has 6 polygons
2026-07-14 11:04:34 -0400: Memory Usage (420924K) : metal5_pin has 2 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421292K) : metal5_mask has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421292K) : metal5_filler has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421292K) : metal5_nofill has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421292K) : metal5_slit has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421292K) : metal5_text has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421556K) : metal5_opc has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421556K) : metal5_noqrc has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421556K) : metal5_res has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421556K) : metal5_iprobe has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421556K) : metal5_diffprb has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421820K) : radhard_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421820K) : memcap_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421820K) : varicap_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (421820K) : flash_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422084K) : intbondvia_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422084K) : intbondmet_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422084K) : devbondvia_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422084K) : devbondmet_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422084K) : devtrench_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422348K) : redist_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422348K) : graphbot_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422348K) : graphtop_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422348K) : antvia1_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422348K) : antmetal2_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422348K) : graphcont_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422612K) : siwg_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422612K) : siwg_filler has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422612K) : siwg_nofill has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422612K) : sigrating_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422876K) : singrating_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422876K) : graphpas_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422876K) : emwind3_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422876K) : emwihv3_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422876K) : redbulay_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (422876K) : smos_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423140K) : graphpad_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423140K) : polimide_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423140K) : polimide_pin has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423140K) : recog_drw has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423140K) : recog_pin has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423404K) : recog_esd has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423404K) : recog_diode has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423404K) : recog_tsv has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423404K) : recog_iprobe has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423404K) : recog_diffprb has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423668K) : recog_pillar has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423668K) : recog_sbump has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423668K) : recog_otp has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423668K) : recog_pdiode has 0 polygons
2026-07-14 11:04:34 -0400: Memory Usage (423668K) : recog_mom has 0 polygons
