freq_kHz,power_dB
2.179781950910767137e+02,-1.462295202466987689e+02
2.189780950685587300e+02,-1.501511324559889999e+02
2.199779950460407463e+02,-1.503510046943987959e+02
2.209778950235227626e+02,-1.536865310902055626e+02
2.219777950010047221e+02,-1.598898358771062362e+02
2.229776949784867384e+02,-1.753753406087312214e+02
2.239775949559687547e+02,-1.579187318313315984e+02
2.249774949334507426e+02,-1.516507387485742129e+02
2.259773949109327589e+02,-1.471570369973536003e+02
2.269772948884147752e+02,-1.433086835922169087e+02
2.279771948658967631e+02,-1.405933603904248912e+02
2.289770948433787510e+02,-1.371746304638269294e+02
2.299769948208607673e+02,-1.337579547312464285e+02
2.309768947983427836e+02,-1.312794241695341668e+02
2.319767947758247999e+02,-1.274498618660369118e+02
2.329766947533067594e+02,-1.238339397540564590e+02
2.339765947307887757e+02,-1.195222052133887161e+02
2.349764947082707920e+02,-1.145283186091665470e+02
2.359763946857527799e+02,-1.084280487278424374e+02
2.369762946632347962e+02,-1.004205581321196803e+02
2.379761946407168125e+02,-8.841389811700895507e+01
2.389760946181988004e+02,-4.326573331584378934e+01
2.399759945956807883e+02,-3.702524785480941460e+01
2.409758945731628046e+02,-4.282470787398494139e+01
2.419757945506448209e+02,-8.761829110420754319e+01
2.429756945281268372e+02,-9.969893470726927376e+01
2.439755945056087967e+02,-1.076230019916718277e+02
2.449754944830908130e+02,-1.135905084972012560e+02
2.459753944605728293e+02,-1.183567601154076243e+02
2.469752944380548172e+02,-1.223761117984708591e+02
2.479751944155368335e+02,-1.257845312553952226e+02
2.489750943930188498e+02,-1.288990512326646467e+02
2.499749943705008377e+02,-1.311507288656653429e+02
2.509748943479828256e+02,-1.337049774048078348e+02
2.519747943254648419e+02,-1.360078887661648821e+02
2.529746943029468582e+02,-1.375080297940348260e+02
2.539745942804288745e+02,-1.400146471758194764e+02
2.549744942579108340e+02,-1.411598559424238601e+02
2.559743942353928503e+02,-1.424879182767705572e+02
2.569742942128748950e+02,-1.439614324011427016e+02
2.579741941903568545e+02,-1.454569564716886134e+02
2.589740941678388708e+02,-1.465821434385391058e+02
2.599739941453208871e+02,-1.487629307879998066e+02
2.609738941228029034e+02,-1.505425378035867539e+02
2.619737941002848629e+02,-1.454364497785794015e+02
2.629736940777669361e+02,-1.526269424144584832e+02
2.639735940552488955e+02,-1.522331804226193981e+02
2.649734940327308550e+02,-1.527675974558999599e+02
2.659733940102129282e+02,-1.531617522538563776e+02
2.669732939876948876e+02,-1.553039278240761405e+02
2.679731939651769039e+02,-1.534286562842504793e+02
2.689730939426589202e+02,-1.534621497219680180e+02
2.699729939201408797e+02,-1.702468624261779837e+02
2.709728938976228960e+02,-1.454722735406122354e+02
2.719727938751049123e+02,-1.557084045581016767e+02
2.729726938525869286e+02,-1.551123140980280652e+02
2.739725938300689450e+02,-1.574963115584153002e+02
2.749724938075509044e+02,-1.585736424339204405e+02
2.759723937850329207e+02,-1.586299678705465794e+02
2.769722937625149370e+02,-1.615417240876139999e+02
2.779721937399969534e+02,-1.611488504816634588e+02
2.789720937174789128e+02,-1.587218087212132787e+02
2.799719936949609291e+02,-1.684205581381646653e+02
2.809718936724429454e+02,-1.580742614139281841e+02
2.819717936499249049e+02,-1.643671873493585736e+02
2.829716936274069781e+02,-1.721118169842447401e+02
2.839715936048889375e+02,-1.591054434831418689e+02
2.849714935823709538e+02,-1.757012095404893159e+02
2.859713935598529702e+02,-1.687935538986015160e+02
2.869712935373349296e+02,-1.783284420876084369e+02
2.879711935148170028e+02,-1.890764403959300353e+02
2.889710934922989622e+02,-1.586627778163385187e+02
2.899709934697809786e+02,-1.493613377147365213e+02
2.909708934472629949e+02,-1.393202554431480849e+02
2.919707934247449543e+02,-1.192905039051011187e+02
2.929706934022269706e+02,-1.079816535576624688e+02
2.939705933797089870e+02,-1.096903797027628116e+02
2.949704933571910033e+02,-1.270221618236213601e+02
2.959703933346730196e+02,-1.418264220745234070e+02
2.969702933121549790e+02,-1.506823616269846298e+02
2.979701932896369954e+02,-1.545922134216487791e+02
2.989700932671190117e+02,-1.576343761742984100e+02
2.999699932446010280e+02,-1.670576344488124505e+02
3.009698932220829874e+02,-1.704842526207295919e+02
3.019697931995650038e+02,-1.573358128397843814e+02
3.029696931770470201e+02,-1.692190465554888874e+02
3.039695931545289795e+02,-1.677695175813190076e+02
3.049694931320110527e+02,-1.624827002390566406e+02
3.059693931094930122e+02,-1.674901974939379841e+02
3.069692930869750285e+02,-1.770268413858638610e+02
3.079691930644570448e+02,-1.715978358223516125e+02
3.089690930419390043e+02,-1.772453974006415365e+02
3.099689930194210774e+02,-1.788597986787104048e+02
3.109688929969030369e+02,-1.714385485729772256e+02
3.119687929743850532e+02,-1.787067312530325296e+02
3.129686929518670695e+02,-1.857520581374770074e+02
3.139685929293490290e+02,-1.689050406845743737e+02
3.149684929068310453e+02,-1.627205178259783338e+02
3.159683928843130616e+02,-1.713643170446896988e+02
3.169682928617950779e+02,-1.735327955652186915e+02
3.179681928392770942e+02,-1.723799412227504604e+02
3.189680928167590537e+02,-1.695164401981040783e+02
3.199679927942410700e+02,-1.647429750162733058e+02
3.209678927717230863e+02,-1.782373643416345885e+02
3.219677927492051026e+02,-1.688315783542519739e+02
3.229676927266870621e+02,-1.671284222901567773e+02
3.239675927041690784e+02,-1.541922786934574958e+02
3.249674926816510947e+02,-1.595684515721032994e+02
3.259673926591330542e+02,-1.558304833448518139e+02
3.269672926366151273e+02,-1.568609206627712922e+02
3.279671926140970868e+02,-1.586051544304964125e+02
3.289670925915791031e+02,-1.553086938935709611e+02
3.299669925690611194e+02,-1.534200682305839507e+02
3.309668925465430789e+02,-1.625489262057267865e+02
3.319667925240251520e+02,-1.434055965053318005e+02
3.329666925015071115e+02,-1.538597153301975595e+02
3.339665924789891278e+02,-1.453240597129709784e+02
